id,ACTION
1,0.888943
2,0.731410
3,0.999849
4,0.999903
5,0.999976
6,0.996607
7,0.999658
8,0.999997
9,0.882547
10,0.998700
11,0.999719
12,0.998171
13,0.999423
14,0.996546
15,0.671612
16,0.944150
17,0.969042
18,0.989621
19,0.999754
20,0.999998
21,0.999997
22,0.999999
23,0.999118
24,0.999132
25,1.000000
26,0.999413
27,0.998660
28,0.999969
29,0.999314
30,0.963446
31,0.999993
32,0.998963
33,0.999993
34,0.999913
35,0.999981
36,0.999553
37,0.892092
38,0.997667
39,0.999994
40,0.986900
41,0.998527
42,0.998771
43,0.997600
44,0.999699
45,0.999524
46,0.999980
47,0.999836
48,0.999949
49,0.999992
50,0.999960
51,1.000000
52,0.998337
53,0.999895
54,0.999862
55,0.999631
56,0.997065
57,0.999984
58,0.999994
59,0.999112
60,0.999788
61,0.999990
62,0.999866
63,0.989661
64,0.999614
65,0.999973
66,0.999999
67,0.986440
68,0.998870
69,0.999818
70,0.020584
71,0.999866
72,0.998678
73,0.999780
74,0.999997
75,0.999771
76,0.999963
77,0.999706
78,0.999852
79,0.234463
80,0.999999
81,0.997514
82,0.999984
83,0.999930
84,0.999999
85,0.999993
86,0.998194
87,0.993995
88,0.999985
89,0.999708
90,0.185886
91,0.991623
92,0.837168
93,0.999984
94,0.999982
95,0.999949
96,0.999850
97,0.006683
98,0.999615
99,0.991808
100,0.999993
101,0.999920
102,0.973106
103,0.999988
104,0.999981
105,0.007453
106,0.999453
107,0.999655
108,0.999996
109,0.999951
110,0.999971
111,0.994735
112,0.999949
113,0.995351
114,0.999400
115,0.999826
116,0.999839
117,0.999590
118,0.999997
119,0.999996
120,0.998379
121,0.975961
122,0.996717
123,0.999101
124,0.999996
125,0.999989
126,0.999077
127,0.996577
128,0.870021
129,0.987295
130,0.999907
131,0.999996
132,0.999886
133,0.998395
134,0.909745
135,0.999874
136,0.999836
137,0.999994
138,0.941372
139,0.998204
140,0.999020
141,0.999727
142,0.999941
143,0.999709
144,0.999717
145,1.000000
146,0.913947
147,0.926357
148,0.988186
149,0.999168
150,0.997209
151,0.998570
152,0.125161
153,0.999861
154,0.978365
155,0.999997
156,0.998124
157,0.999884
158,0.998942
159,0.134955
160,0.999832
161,0.993014
162,0.999818
163,0.999988
164,0.999115
165,0.999992
166,0.999883
167,0.998200
168,0.999313
169,0.996748
170,0.999932
171,0.998154
172,0.995857
173,0.491967
174,0.999652
175,0.998945
176,0.999014
177,0.998839
178,0.999971
179,0.999986
180,0.999078
181,0.233476
182,0.999846
183,0.722944
184,0.996744
185,0.999109
186,0.999751
187,0.999839
188,0.999630
189,0.000300
190,0.999961
191,0.999991
192,0.999983
193,0.999941
194,0.997277
195,0.980991
196,1.000000
197,0.978919
198,0.948449
199,0.998782
200,0.868423
201,0.999447
202,0.962569
203,0.999785
204,0.985877
205,0.999976
206,0.995981
207,0.999979
208,0.999977
209,0.422014
210,0.910316
211,0.877860
212,0.999908
213,0.998502
214,0.999538
215,0.999885
216,0.973087
217,0.998669
218,0.999854
219,0.999883
220,0.999874
221,0.004624
222,0.999849
223,0.999947
224,0.979296
225,0.999963
226,0.988117
227,0.994589
228,0.999988
229,0.999972
230,0.999988
231,0.999617
232,0.998912
233,0.999998
234,0.049421
235,0.975640
236,0.995120
237,0.999991
238,0.999855
239,0.001464
240,0.999984
241,0.997909
242,0.100608
243,0.026927
244,0.999953
245,0.999988
246,0.999980
247,0.998651
248,0.998210
249,0.999993
250,0.993865
251,0.999976
252,0.999446
253,0.999875
254,0.995079
255,0.999991
256,0.999096
257,0.998765
258,0.999435
259,1.000000
260,0.998871
261,0.999686
262,0.997082
263,0.999659
264,0.999987
265,0.996842
266,0.999591
267,0.999988
268,0.999933
269,0.999562
270,0.999898
271,0.999997
272,0.977102
273,0.999963
274,0.010648
275,0.998216
276,0.687196
277,0.999976
278,0.999895
279,0.999946
280,0.999896
281,0.999999
282,1.000000
283,0.996519
284,0.999827
285,0.999991
286,0.997711
287,0.999854
288,0.999494
289,0.999976
290,0.999946
291,0.997847
292,0.841266
293,0.977834
294,0.999273
295,0.999911
296,0.002366
297,0.021412
298,0.785589
299,0.988789
300,0.999998
301,0.936625
302,1.000000
303,0.359267
304,0.950969
305,0.999997
306,0.999888
307,0.999813
308,0.999893
309,0.999966
310,0.988453
311,0.999999
