,Team_Id,Team_Name,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
0,1101,Abilene Chr,2014,75,1101,73,1146,72,H,0,25,53,5,14,18,24,8,22,11,15,12,1,18,30,56,4,10,8,20,12,23,11,16,11,1,21
1,1101,Abilene Chr,2014,94,1101,87,1223,81,H,0,27,44,5,9,28,38,7,21,12,14,8,3,21,30,50,5,13,16,28,9,15,18,14,6,2,28
183,1102,Air Force,2014,4,1102,79,1119,68,N,0,26,49,10,15,17,26,10,30,11,18,8,4,18,23,68,12,44,10,13,14,20,16,13,4,5,24
184,1102,Air Force,2014,13,1102,67,1115,64,H,0,19,45,9,21,20,26,11,20,16,15,5,6,15,23,53,8,21,10,13,11,20,13,15,12,6,23
185,1102,Air Force,2014,31,1102,94,1377,86,H,0,26,48,11,23,31,39,6,23,20,7,4,2,21,27,50,11,26,21,26,4,20,19,11,5,4,28
186,1102,Air Force,2014,40,1102,62,1415,52,H,0,18,62,6,27,20,25,15,31,12,15,12,4,19,18,46,3,14,13,23,3,32,12,20,10,7,20
187,1102,Air Force,2014,58,1102,73,1429,72,H,0,24,47,6,16,19,24,8,22,14,14,4,3,14,27,56,10,27,8,11,8,18,21,11,5,3,23
188,1102,Air Force,2014,61,1102,75,1424,68,A,0,27,52,8,18,13,19,8,24,14,10,4,1,17,24,53,6,21,14,23,9,22,16,11,7,7,18
189,1102,Air Force,2014,72,1102,77,1363,62,H,0,25,44,12,26,15,19,6,28,19,23,7,5,16,22,52,6,19,12,16,5,16,12,16,9,1,23
190,1102,Air Force,2014,100,1102,51,1363,48,A,0,19,58,7,22,6,10,13,20,13,13,8,6,12,16,53,5,18,11,15,15,26,9,18,7,2,12
191,1102,Air Force,2014,114,1102,55,1461,53,A,0,17,45,5,22,16,23,8,29,6,15,5,1,18,20,50,4,20,9,17,5,24,10,9,8,2,21
192,1102,Air Force,2014,124,1102,64,1129,61,H,1,22,52,5,20,15,23,11,29,12,12,4,2,21,18,51,9,32,16,27,10,22,9,8,9,5,19
443,1103,Akron,2014,4,1103,72,1157,63,H,0,25,59,7,22,15,26,14,24,10,17,13,5,18,23,59,6,14,11,18,15,22,6,20,8,4,22
444,1103,Akron,2014,33,1103,73,1156,61,A,0,25,52,11,22,12,20,7,25,16,15,6,5,18,21,48,4,13,15,25,5,23,8,13,8,3,15
445,1103,Akron,2014,40,1103,84,1126,56,H,0,27,46,10,21,20,32,10,23,17,11,7,8,19,21,54,4,14,10,18,12,14,8,13,5,1,23
446,1103,Akron,2014,42,1103,74,1331,64,H,0,25,57,6,16,18,32,14,22,12,12,6,4,23,23,54,1,5,17,28,12,24,11,20,4,2,29
447,1103,Akron,2014,44,1103,79,1178,60,H,0,26,54,11,21,16,26,15,29,14,12,4,7,14,22,61,7,18,9,15,12,17,7,7,7,1,20
448,1103,Akron,2014,48,1103,83,1333,71,N,0,26,58,10,26,21,29,12,21,13,7,3,6,25,21,48,2,10,27,32,8,21,8,10,4,6,24
449,1103,Akron,2014,57,1103,77,1164,66,H,0,23,51,11,29,20,29,9,30,18,11,7,4,14,25,67,8,26,8,11,13,23,10,11,7,0,18
450,1103,Akron,2014,59,1103,59,1267,58,H,0,21,59,3,13,14,26,20,22,9,16,11,2,14,22,48,4,13,10,20,6,23,7,18,7,3,22
451,1103,Akron,2014,65,1103,72,1123,68,A,0,26,65,3,23,17,24,14,21,10,8,6,4,29,19,51,4,15,26,34,14,28,11,15,1,4,24
452,1103,Akron,2014,69,1103,83,1325,80,A,2,28,63,9,15,18,29,17,28,10,17,5,4,23,26,62,5,20,23,26,10,23,8,15,8,9,22
453,1103,Akron,2014,72,1103,59,1275,52,H,0,21,48,6,24,11,17,9,29,13,16,8,5,10,19,54,4,10,10,13,8,22,10,11,7,0,18
454,1103,Akron,2014,79,1103,78,1185,68,A,0,27,58,10,19,14,22,16,28,19,13,7,14,16,27,73,5,21,9,15,21,21,8,9,5,9,21
455,1103,Akron,2014,82,1103,82,1141,74,A,0,29,56,12,27,12,26,11,23,10,17,9,3,18,25,53,7,18,17,23,6,23,9,16,7,0,24
456,1103,Akron,2014,86,1103,73,1123,46,H,0,25,52,10,24,13,14,6,28,16,11,8,5,13,17,49,4,15,8,13,8,20,12,16,7,0,18
457,1103,Akron,2014,93,1103,52,1185,48,H,0,17,53,3,23,15,20,13,21,11,11,7,3,12,18,45,2,11,10,15,10,25,5,15,8,1,18
458,1103,Akron,2014,97,1103,65,1132,63,A,0,26,55,5,17,8,13,14,19,10,17,9,4,19,23,48,3,10,14,22,11,18,10,18,11,3,10
459,1103,Akron,2014,103,1103,62,1296,54,H,0,21,46,4,18,16,24,10,26,12,17,5,4,19,19,53,4,13,12,21,13,20,8,13,8,1,21
460,1103,Akron,2014,117,1103,57,1132,47,H,0,23,58,7,15,4,10,11,24,15,11,10,1,14,18,51,2,13,9,13,12,27,4,20,5,7,11
461,1103,Akron,2014,120,1103,83,1138,71,H,0,29,56,8,21,17,28,10,26,7,12,8,3,20,24,54,7,25,16,24,6,22,13,15,4,3,25
462,1103,Akron,2014,124,1103,58,1245,54,H,0,20,48,6,14,12,24,8,27,10,8,4,6,14,21,65,3,19,9,11,14,29,8,8,2,5,23
463,1103,Akron,2014,129,1103,83,1325,77,N,0,28,46,7,12,20,34,8,18,9,9,7,4,15,29,60,10,21,9,11,14,17,18,13,5,4,22
715,1104,Alabama,2014,10,1104,76,1403,64,H,0,28,51,6,14,14,17,12,20,9,17,8,5,9,28,59,4,20,4,8,13,13,10,16,8,5,15
716,1104,Alabama,2014,15,1104,75,1209,58,H,0,25,52,6,19,19,25,11,29,10,13,10,6,18,22,55,5,17,9,14,7,17,11,13,8,4,21
717,1104,Alabama,2014,30,1104,76,1316,48,H,0,26,58,9,19,15,25,15,30,18,11,10,7,18,18,57,5,20,7,16,14,23,11,15,4,2,17
718,1104,Alabama,2014,40,1104,59,1149,45,H,0,15,43,6,20,23,32,9,24,8,9,10,6,15,14,43,4,17,13,17,7,25,4,14,3,2,25
719,1104,Alabama,2014,61,1104,64,1352,56,H,0,24,44,5,14,11,21,7,22,11,16,12,3,12,21,44,6,14,8,13,4,19,13,19,9,2,19
720,1104,Alabama,2014,64,1104,68,1435,63,H,0,25,52,6,16,12,19,9,16,13,8,8,2,16,21,46,6,13,15,17,10,22,8,16,6,3,18
721,1104,Alabama,2014,72,1104,80,1280,61,H,0,30,57,10,25,10,16,8,25,17,11,7,6,18,22,50,3,10,14,18,6,22,11,14,3,2,17
722,1104,Alabama,2014,82,1104,82,1261,80,H,0,27,52,8,16,20,26,8,21,18,14,7,4,18,29,62,7,16,15,20,13,21,11,13,8,8,21
723,1104,Alabama,2014,99,1104,67,1279,64,H,0,24,58,3,17,16,24,14,28,10,12,8,6,13,21,56,8,25,14,19,10,24,10,12,6,4,18
724,1104,Alabama,2014,110,1104,80,1281,73,H,0,27,47,10,21,16,29,6,18,16,8,7,3,21,23,48,5,16,22,29,13,23,14,16,4,1,21
725,1104,Alabama,2014,117,1104,73,1120,57,H,0,24,49,10,18,15,23,8,30,13,13,6,6,20,19,69,5,27,14,21,24,22,9,12,6,4,20
726,1104,Alabama,2014,124,1104,83,1116,58,H,0,29,53,6,16,19,27,12,29,10,13,8,1,18,15,48,9,25,19,25,8,17,9,15,5,5,20
865,1105,Alabama A&M,2014,29,1105,66,1398,65,A,0,25,57,8,18,8,13,8,23,9,10,6,4,19,21,56,4,17,19,29,18,28,5,13,5,6,15
866,1105,Alabama A&M,2014,61,1105,68,1238,61,A,0,18,46,8,23,24,33,9,19,7,16,9,3,26,18,42,0,4,25,34,11,26,2,22,6,5,26
867,1105,Alabama A&M,2014,63,1105,70,1212,58,A,0,24,58,10,22,12,18,17,21,18,12,6,5,14,19,47,7,19,13,17,12,22,9,17,4,3,19
868,1105,Alabama A&M,2014,70,1105,68,1290,59,H,0,25,55,3,11,15,31,15,29,15,7,5,9,14,21,57,5,13,12,18,12,22,9,10,6,2,25
869,1105,Alabama A&M,2014,89,1105,63,1411,62,H,0,24,47,9,17,6,14,9,24,19,11,3,3,23,20,45,3,14,19,31,11,20,5,12,4,2,16
870,1105,Alabama A&M,2014,91,1105,67,1341,55,H,0,22,48,3,13,20,30,8,27,18,11,7,4,19,20,52,1,11,14,25,13,23,2,12,8,1,27
871,1105,Alabama A&M,2014,98,1105,91,1290,82,A,0,27,49,5,16,32,49,11,38,10,21,5,1,38,21,55,4,16,36,56,10,18,9,9,8,1,34
872,1105,Alabama A&M,2014,103,1105,68,1106,65,H,1,24,56,4,16,16,23,10,31,11,12,3,5,23,22,56,3,15,18,34,12,26,8,12,6,5,20
873,1105,Alabama A&M,2014,117,1105,72,1341,65,A,0,21,46,11,21,19,27,12,28,12,20,8,7,22,20,57,5,14,20,29,13,19,7,17,6,2,25
874,1105,Alabama A&M,2014,122,1105,72,1238,59,H,0,22,50,5,19,23,29,8,26,16,8,11,8,21,16,54,4,15,23,30,11,18,6,10,4,0,18
875,1105,Alabama A&M,2014,124,1105,80,1212,63,H,0,31,60,9,18,9,16,12,27,22,11,5,3,20,24,60,6,19,9,20,17,22,7,15,2,1,20
876,1105,Alabama A&M,2014,129,1105,69,1115,50,N,0,23,53,4,15,19,27,17,29,14,19,10,5,11,17,53,3,18,13,17,8,19,13,15,10,0,18
1044,1106,Alabama St,2014,12,1106,84,1240,73,A,0,24,48,4,16,32,39,11,24,11,13,4,2,26,23,55,3,18,24,33,14,15,12,12,6,4,27
1045,1106,Alabama St,2014,14,1106,79,1152,75,H,0,26,56,6,21,21,26,15,20,11,11,4,0,23,26,55,5,14,18,25,15,17,12,13,5,1,21
1046,1106,Alabama St,2014,42,1106,59,1442,52,H,0,19,48,4,18,17,28,9,23,13,11,5,8,9,22,56,5,14,3,4,12,28,9,15,5,1,21
1047,1106,Alabama St,2014,61,1106,68,1212,51,A,0,25,61,9,29,9,12,17,23,15,10,6,1,17,18,48,1,14,14,19,12,22,4,13,5,1,14
1048,1106,Alabama St,2014,68,1106,93,1290,62,H,0,31,63,7,18,24,32,12,37,17,15,9,8,21,24,71,3,20,11,20,14,25,6,17,12,2,26
1049,1106,Alabama St,2014,70,1106,77,1115,64,H,0,24,51,9,22,20,28,7,21,18,13,7,6,21,20,45,5,15,19,29,9,24,12,17,6,4,23
1050,1106,Alabama St,2014,75,1106,67,1105,58,H,1,23,61,3,13,18,24,19,22,7,16,9,0,13,20,47,6,17,12,17,7,23,13,21,4,1,21
1051,1106,Alabama St,2014,82,1106,58,1108,54,A,0,23,68,4,21,8,10,14,21,10,7,1,2,8,22,59,4,15,6,13,14,25,6,11,1,9,12
1052,1106,Alabama St,2014,89,1106,76,1341,63,H,0,25,57,7,20,19,32,18,31,18,15,9,4,16,21,61,7,22,14,23,18,26,7,17,7,4,25
1053,1106,Alabama St,2014,91,1106,79,1411,73,H,1,30,68,4,19,15,25,19,29,12,14,3,6,20,26,69,4,15,17,22,19,29,15,14,5,3,20
1054,1106,Alabama St,2014,96,1106,75,1290,70,A,0,28,66,5,14,14,18,16,22,11,12,8,2,15,23,50,8,21,16,19,6,26,13,18,7,2,17
1055,1106,Alabama St,2014,110,1106,92,1108,86,H,0,31,58,8,18,22,29,11,18,15,11,11,4,23,28,52,3,12,27,37,9,20,10,13,5,3,23
1056,1106,Alabama St,2014,119,1106,90,1341,87,A,1,30,59,8,23,22,29,11,26,17,17,8,4,27,30,58,7,20,20,35,11,22,12,15,10,2,22
1057,1106,Alabama St,2014,122,1106,68,1212,66,H,0,25,58,7,25,11,26,17,22,16,15,10,6,23,24,48,7,17,11,21,8,26,13,20,3,1,24
1058,1106,Alabama St,2014,124,1106,67,1238,63,H,0,22,61,8,22,15,18,9,25,12,6,8,4,12,25,57,5,15,8,10,9,30,9,14,3,4,19
1059,1106,Alabama St,2014,129,1106,64,1108,51,N,0,24,52,1,9,15,19,12,28,11,15,7,1,16,18,59,1,13,14,22,17,18,8,11,9,5,20
1254,1107,Albany NY,2014,4,1107,74,1373,62,A,0,21,52,4,10,28,36,14,24,8,14,11,4,22,23,62,4,24,12,23,20,24,12,16,2,6,26
1255,1107,Albany NY,2014,8,1107,71,1312,65,H,0,24,54,8,21,15,20,11,20,16,8,6,3,15,26,51,5,13,8,12,7,21,11,11,6,3,18
1256,1107,Albany NY,2014,22,1107,70,1351,59,A,0,21,39,7,15,21,22,6,29,12,21,4,1,19,24,57,3,14,8,12,7,12,8,10,7,2,20
1257,1107,Albany NY,2014,27,1107,66,1312,55,A,0,18,49,4,10,26,35,10,30,9,8,5,9,16,19,55,6,19,11,14,7,27,11,11,4,1,23
1258,1107,Albany NY,2014,36,1107,74,1135,68,A,0,19,48,1,6,35,46,9,29,10,12,8,2,26,22,52,7,21,17,33,9,28,11,14,6,6,33
1259,1107,Albany NY,2014,46,1107,70,1463,62,H,0,25,51,4,11,16,21,10,27,12,11,5,3,23,18,57,4,19,22,27,15,17,4,10,5,4,19
1260,1107,Albany NY,2014,61,1107,81,1216,56,H,0,25,43,16,23,15,17,10,27,18,12,2,2,13,21,51,6,20,8,10,5,9,8,5,7,0,14
1261,1107,Albany NY,2014,65,1107,73,1420,72,H,2,22,51,6,19,23,27,11,27,8,20,10,8,16,26,67,10,27,10,13,17,19,10,18,11,0,25
1262,1107,Albany NY,2014,75,1107,85,1263,78,A,0,28,53,4,11,25,32,5,18,14,11,9,4,17,29,55,5,16,15,19,10,24,17,15,3,3,23
