,Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
1314,2016.0,1314.0,12.705882352941176,28.0,6.0,0.4787379972565158,0.313893653516295,0.7375886524822695,40.970588235294116,18.11764705882353,10.911764705882353,6.882352941176471,4.382352941176471,17.91176470588235
1462,2016.0,1462.0,10.3125,27.0,5.0,0.4520123839009288,0.36160714285714285,0.7307692307692307,41.0,16.375,12.75,7.3125,3.0625,20.1875
1452,2016.0,1452.0,12.588235294117647,26.0,8.0,0.4521951219512195,0.32854864433811803,0.6698412698412698,39.1764705882353,14.764705882352942,14.0,9.941176470588236,2.5294117647058822,23.38235294117647
1246,2016.0,1246.0,11.411764705882353,26.0,8.0,0.4785608674223756,0.3704866562009419,0.6833976833976834,38.588235294117645,14.411764705882353,11.0,5.617647058823529,5.647058823529412,20.470588235294116
1231,2016.0,1231.0,13.375,25.0,7.0,0.5010729613733905,0.4146981627296588,0.7230273752012882,37.375,15.96875,13.65625,6.9375,3.96875,18.1875
1323,2016.0,1323.0,5.125,21.0,11.0,0.4712581344902386,0.36891679748822603,0.7352941176470589,36.0625,13.46875,9.71875,5.59375,3.90625,15.5
1458,2016.0,1458.0,4.3125,20.0,12.0,0.42963386727688785,0.3576271186440678,0.707492795389049,34.90625,11.59375,10.96875,5.875,3.1875,16.9375
1425,2016.0,1425.0,6.090909090909091,21.0,12.0,0.45755395683453237,0.3851851851851852,0.6784260515603799,39.45454545454545,14.878787878787879,12.212121212121213,6.333333333333333,5.454545454545454,17.454545454545453
1344,2016.0,1344.0,4.242424242424242,23.0,10.0,0.4219858156028369,0.32098765432098764,0.7271505376344086,36.57575757575758,15.909090909090908,11.515151515151516,6.636363636363637,3.606060606060606,16.90909090909091
1338,2016.0,1338.0,7.064516129032258,20.0,11.0,0.4591893392559689,0.35135135135135137,0.7575757575757576,37.61290322580645,16.774193548387096,11.67741935483871,5.032258064516129,3.4516129032258065,17.483870967741936
1276,2016.0,1276.0,6.242424242424242,21.0,12.0,0.4647812166488794,0.38415366146458585,0.7392120075046904,32.03030303030303,14.969696969696969,9.727272727272727,5.424242424242424,2.090909090909091,15.666666666666666
1409,2016.0,1409.0,4.32258064516129,20.0,11.0,0.44394868934746234,0.32926829268292684,0.6778242677824268,35.03225806451613,13.709677419354838,10.806451612903226,6.806451612903226,2.6774193548387095,17.70967741935484
1151,2016.0,1151.0,7.6875,27.0,5.0,0.4506172839506173,0.3610271903323263,0.732620320855615,35.4375,13.96875,12.1875,7.34375,4.75,17.4375
1392,2016.0,1392.0,10.266666666666667,24.0,6.0,0.47680995475113125,0.37524177949709864,0.6689895470383276,38.333333333333336,16.3,11.666666666666666,5.9,4.6,16.233333333333334
1372,2016.0,1372.0,15.285714285714286,23.0,5.0,0.48655256723716384,0.37478991596638656,0.7436823104693141,33.785714285714285,18.357142857142858,12.571428571428571,8.357142857142858,3.2857142857142856,20.928571428571427
1451,2016.0,1451.0,6.064516129032258,23.0,8.0,0.4730722154222766,0.36046511627906974,0.6771653543307087,36.83870967741935,13.0,13.741935483870968,4.67741935483871,3.3225806451612905,18.096774193548388
1192,2016.0,1192.0,-1.6774193548387097,17.0,14.0,0.4563829787234043,0.3646677471636953,0.6988906497622821,33.12903225806452,14.096774193548388,13.0,7.354838709677419,2.5161290322580645,21.580645161290324
1195,2016.0,1195.0,2.7241379310344827,16.0,13.0,0.4695752009184845,0.3458823529411765,0.6451104100946372,39.41379310344828,12.89655172413793,12.0,6.137931034482759,4.0344827586206895,19.620689655172413
1438,2016.0,1438.0,10.696969696969697,26.0,7.0,0.48709122203098104,0.4049079754601227,0.7539823008849558,31.87878787878788,14.333333333333334,9.393939393939394,5.484848484848484,2.9393939393939394,16.363636363636363
1277,2016.0,1277.0,16.38235294117647,29.0,5.0,0.483695652173913,0.43356643356643354,0.7302631578947368,41.85294117647059,20.558823529411764,11.794117647058824,4.411764705882353,5.147058823529412,19.08823529411765
1428,2016.0,1428.0,7.484848484848484,25.0,8.0,0.4838885854724194,0.36046511627906974,0.716927453769559,36.84848484848485,15.272727272727273,12.151515151515152,5.2727272727272725,4.212121212121212,15.666666666666666
1235,2016.0,1235.0,6.875,21.0,11.0,0.5015075376884423,0.3802008608321377,0.7061143984220908,36.0625,16.53125,11.5625,6.15625,4.21875,15.53125
1345,2016.0,1345.0,13.147058823529411,26.0,8.0,0.4717171717171717,0.3684210526315789,0.7424460431654676,40.8235294117647,17.58823529411765,11.941176470588236,4.264705882352941,4.647058823529412,17.176470588235293
1371,2016.0,1371.0,7.0606060606060606,25.0,8.0,0.45018069179143005,0.3525305410122164,0.6658195679796697,40.03030303030303,13.545454545454545,13.848484848484848,7.2727272727272725,4.666666666666667,18.666666666666668
1173,2016.0,1173.0,7.375,25.0,7.0,0.45955056179775283,0.3467741935483871,0.6726027397260274,38.65625,14.6875,13.0625,5.90625,4.4375,19.0625
1403,2016.0,1403.0,2.5483870967741935,19.0,12.0,0.4470588235294118,0.344294003868472,0.7459016393442623,34.16129032258065,13.03225806451613,11.96774193548387,5.870967741935484,4.193548387096774,18.483870967741936
1139,2016.0,1139.0,9.419354838709678,21.0,10.0,0.4656652360515021,0.3866432337434095,0.7314439946018894,36.41935483870968,14.35483870967742,10.225806451612904,6.774193548387097,3.3548387096774195,19.903225806451612
1393,2016.0,1393.0,4.5,19.0,13.0,0.4265033407572383,0.36082474226804123,0.6828885400313972,35.53125,14.0625,12.125,8.09375,4.0625,16.5625
1211,2016.0,1211.0,12.75,25.0,7.0,0.48537378114842905,0.37613293051359514,0.7598187311178247,39.375,13.875,11.34375,5.0,3.0,17.59375
1114,2016.0,1114.0,9.935483870967742,27.0,4.0,0.45700824499411075,0.3870967741935484,0.7344632768361582,32.903225806451616,12.903225806451612,10.225806451612904,6.290322580645161,3.064516129032258,18.258064516129032
1233,2016.0,1233.0,5.9375,22.0,10.0,0.4560862865947612,0.37209302325581395,0.7124802527646129,36.90625,16.84375,12.78125,7.5625,4.125,19.4375
1201,2016.0,1201.0,3.46875,23.0,9.0,0.43048403707518024,0.3430034129692833,0.6959459459459459,37.03125,13.0625,10.625,8.15625,3.71875,22.25
1292,2016.0,1292.0,4.096774193548387,22.0,9.0,0.4488541084404695,0.3887147335423197,0.6071987480438185,36.806451612903224,13.03225806451613,11.935483870967742,6.258064516129032,3.4838709677419355,20.451612903225808
1214,2016.0,1214.0,0.9,20.0,10.0,0.4179750947482404,0.3088923556942278,0.6541935483870968,41.3,12.266666666666667,13.866666666666667,5.233333333333333,3.6666666666666665,20.466666666666665
1242,2016.0,1242.0,12.696969696969697,29.0,4.0,0.4886901630720673,0.4220472440944882,0.706199460916442,37.333333333333336,15.454545454545455,12.545454545454545,6.757575757575758,4.0,18.90909090909091
