,Id,Pred,Wteam,Lteam,Year,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins_x,Losses_x,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,WTeam_Name,WRank,WSchool,WConference,Wins_y,Losses_y,WSeed,WPyth,WAdjustO,WAdjustO Rank,WAdjustD,WAdjustD Rank,WAdjustT,WAdjustT Rank,WLuck,WLuck Rank,WSOS Pyth,WSOS Pyth Rank,WSOS OppO,WSOS OppO Rank,WSOS OppD,WSOS OppD Rank,WNCSOS Pyth,WNCSOS Pyth Rank,LTeam_Name,LRank,LSchool,LConference,LWinsKP,Losses,LSeed,LPyth,LAdjustO,LAdjustO Rank,LAdjustD,LAdjustD Rank,LAdjustT,LAdjustT Rank,LLuck,LLuck Rank,LSOS Pyth,LSOS Pyth Rank,LSOS OppO,LSOS OppO Rank,LSOS OppD,LSOS OppD Rank,LNCSOS Pyth,LNCSOS Pyth Rank,Rank
0,2016_1112_1122,0.5,1112,1122,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,14.575757574,9,-9,0.02234505539999998,0.0339228218,0.05270191989999995,4.363636360000001,1.636363639999999,-1.7272727300000008,-2.0,2.03030303,0.5757575700000004,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,-228
1,2016_1112_1124,0.5,1112,1124,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,5.5246212099999985,4,-3,0.01850686489999997,0.008977371899999975,-0.004395368800000132,3.4611742399999983,-2.57859848,0.0056818199999995045,-2.8096590910000003,0.8191287880000004,-1.1941287900000006,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,-24
2,2016_1122_1124,0.5,1122,1124,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,-9.051136364,-5,6,-0.0038381905000000045,-0.024945449900000027,-0.057097288700000075,-0.9024621200000028,-4.214962119999999,1.7329545500000003,-0.8096590910000003,-1.2111742419999998,-1.769886360000001,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,204
3,2016_1112_1138,0.5,1112,1138,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,11.5454545433,6,-6,0.04753903779999985,0.04738986379999999,0.013475649099999876,1.4242424199999988,1.9696969699999995,-1.0,-1.818181818000001,1.3030303030000003,-3.0606060600000013,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,-134
4,2016_1122_1138,0.5,1122,1138,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,-3.0303030307,-3,3,0.02519398239999987,0.013467041999999985,-0.03922627080000008,-2.9393939400000018,0.3333333300000003,0.727272730000001,0.18181818199999888,-0.7272727269999999,-3.6363636300000017,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,94
5,2016_1124_1138,0.5,1124,1138,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,6.020833333300001,2,-3,0.02903217289999993,0.03841249190000001,0.017871017900000008,-2.0369318199999995,4.54829545,-1.0056818199999995,0.9914772729999992,0.4839015149999999,-1.8664772700000007,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,-110
6,2016_1112_1139,0.5,1112,1139,2016,12.21212121,25,8,0.4817898023,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,2.792766370999999,4,-2,0.016124566199999968,-0.004080956099999977,-0.00856663610000008,3.8230694000000014,0.16031281000000064,2.592375369999999,-1.8651026390000007,1.4330400780000003,-1.6911045999999992,arizona,14,Arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,-32
7,2016_1122_1139,0.5,1122,1139,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-11.782991203,-5,7,-0.006220489200000011,-0.03800377789999998,-0.06126855600000002,-0.5405669599999996,-1.4760508299999984,4.3196481,0.13489736099999927,-0.5972629519999999,-2.26686217,austin peay,242,Austin Peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,196
8,2016_1124_1139,0.5,1124,1139,2016,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-2.7318548390000004,0,1,-0.002382298699999952,-0.013058327999999952,-0.004171267299999948,0.3618951600000031,2.7389112900000008,2.58669355,0.9445564519999996,0.6139112899999999,-0.4969758099999986,baylor,38,Baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,-8
9,2016_1138_1139,0.5,1138,1139,2016,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,9.419354839,21,10,0.4656652361,0.3866432337,0.7314439946,36.41935484,14.35483871,10.22580645,6.7741935479999995,3.35483871,19.90322581,-8.752688172300001,-2,4,-0.03141447159999988,-0.05147081989999997,-0.02204228519999996,2.3988269800000026,-1.809384159999999,3.5923753699999987,-0.04692082099999961,0.130009775,1.3695014600000022,buffalo,148,Buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.058,54,0.5531,100,106.0,61,104.0,194,0.5635,108,butler,46,Butler,BE,17,8,,0.8125,115.5,17,101.7,136,68.7,188,-0.022,228,0.5968,76,104.3,131,100.8,40,0.4172,283,102
