Season,Team,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
2003,1328,11,24,6,0.446934,0.393673,0.707885,37.1,14.16667,11.8,6.933333,3.766667,18.6
2003,1448,10.7931,24,5,0.456627,0.344358,0.752591,41.68966,14.58621,15.10345,6.413793,4.37931,18.48276
2003,1393,10.2069,24,5,0.470067,0.330435,0.693431,41.2069,14.96552,13.62069,8.310345,7.275862,16.58621
2003,1257,13.36667,24,6,0.459726,0.360399,0.695883,38.3,16.6,13.36667,7.2,4.733333,22.66667
2003,1280,10,21,9,0.471924,0.343621,0.676749,37.26667,14.5,15.63333,8.733333,3.733333,15.9
2003,1329,6.517241,20,9,0.444928,0.375,0.651235,36.44828,12.24138,14.65517,8.793103,5.586207,20.13793
2003,1386,11.34483,23,6,0.445501,0.367508,0.682805,35.31034,14,12.93103,7.206897,5.551724,18.75862
2003,1143,4.724138,21,8,0.465649,0.376518,0.685512,35.62069,16,14.17241,6.551724,2.793103,17.10345
2003,1301,4.4,18,12,0.45625,0.354074,0.770358,31.76667,14.66667,14.2,7.766667,3.066667,18.66667
2003,1120,4.533333,19,11,0.469835,0.344898,0.662162,34.5,13.4,15.9,8.033333,4.966667,16.36667
2003,1335,10.77778,22,5,0.465852,0.411864,0.70217,33.51852,14.85185,13,7.185185,2.148148,17.77778
2003,1139,7.655172,24,5,0.475153,0.388013,0.722917,28.2069,12.96552,10.41379,6.344828,1.862069,16.06897
2003,1122,2,20,7,0.452347,0.349138,0.691358,34.85185,13.40741,15.22222,7.037037,4.666667,18.66667
2003,1264,8.413793,23,6,0.450569,0.348584,0.786436,34.62069,13.86207,14.2069,9.172414,3.896552,21.93103
2003,1190,2.222222,17,10,0.457177,0.343902,0.738806,38.03704,14.03704,18.74074,10.7037,5.259259,19.51852
2003,1354,1.533333,20,10,0.456162,0.334052,0.698966,37.23333,10.26667,19.46667,8,2.9,20.73333
2003,1400,10.17857,22,6,0.448513,0.348936,0.714715,42.32143,14.5,13.42857,6.392857,3.857143,20.35714
2003,1196,11.22581,24,7,0.476598,0.392128,0.705281,35.06452,16.41935,13.3871,7.774194,4.096774,16.90323
