Season,Daynum,Wteam,Wscore,Team,Lscore,Wloc,Numot,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg
2003,134,1421,92,1411,84,N,1,-7.24138,13,16,0.429265,0.360153,0.762768,35.44828,13.03448,16.2069,7.068966,3,19.10345
2003,136,1112,80,1436,51,N,0,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75
2003,138,1112,96,1211,95,N,2,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75
2003,143,1112,88,1323,71,N,0,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75
2003,136,1113,84,1272,71,N,0,6.793103,18,11,0.478182,0.317808,0.669737,37,15.55172,14,5.206897,4.241379,19.41379
2003,136,1141,79,1166,73,N,0,6.103448,23,6,0.505236,0.380769,0.765753,33.86207,15.62069,18.24138,7.103448,4,20.96552
2003,136,1143,76,1301,74,N,1,4.724138,21,8,0.465649,0.376518,0.685512,35.62069,16,14.17241,6.551724,2.793103,17.10345
2003,136,1163,58,1140,53,N,0,8.633333,21,9,0.474812,0.386412,0.674208,42.66667,15.63333,15.8,5.933333,7.733333,18.4
2003,138,1163,85,1390,74,N,0,8.633333,21,9,0.474812,0.386412,0.674208,42.66667,15.63333,15.8,5.933333,7.733333,18.4
2003,136,1181,67,1161,57,N,0,11.56667,24,6,0.453591,0.355987,0.709026,36.86667,13.83333,14.03333,8.5,5.133333,21.26667
2003,138,1181,86,1141,60,N,0,11.56667,24,6,0.453591,0.355987,0.709026,36.86667,13.83333,14.03333,8.5,5.133333,21.26667
2003,136,1211,74,1153,69,N,0,8.870968,23,8,0.470041,0.375635,0.721204,37.25806,15.74194,14.54839,6.806452,3.516129,18.64516
2003,136,1228,65,1443,60,N,0,14.03333,24,6,0.485663,0.368595,0.722513,35.13333,18.26667,13.16667,7,3.1,19.13333
2003,136,1242,64,1429,61,N,0,14.96667,23,7,0.485286,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7
2003,138,1242,108,1113,76,N,0,14.96667,23,7,0.485286,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7
2003,143,1242,69,1181,65,N,0,14.96667,23,7,0.485286,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7
2003,145,1242,78,1112,75,N,0,14.96667,23,7,0.485286,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7
