Year,Daynum,WinLoss,team_id,Wscore,Lteam,Lscore,Wloc,Numot,PointDiff,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins_x,Losses_x,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,Team_Name,Rank,Team,Conference,Wins_y,Losses_y,Seed,Pyth,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS Pyth,SOS Pyth Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS Pyth,NCSOS Pyth Rank
2003,134,1,1421,92,1411,84,N,1,8,-7.24138,13,16,0.42926499999999995,0.360153,0.762768,35.44828,13.03448,16.2069,7.0689660000000005,3.0,19.10345,1.9666669999999997,18,12,0.44752700000000006,0.320721,0.6199520000000001,37.96667,14.2,15.233329999999999,6.433333,2.233333,18.3,-9.208047,-5,4,-0.018262,0.039432,0.142816,-2.51839,-1.1655200000000001,0.97357,0.635633,0.766667,0.80345,unc asheville,275,UNC Asheville,BSth,14,17,16.0,0.2181,101.7,153,113.6,319,69.3,128,0.118,5,0.3956,240,98.8,250,102.5,214,0.7262,19
2003,137,0,1421,61,1400,82,N,0,-21,-7.24138,13,16,0.42926499999999995,0.360153,0.762768,35.44828,13.03448,16.2069,7.0689660000000005,3.0,19.10345,10.17857,22,6,0.448513,0.348936,0.714715,42.32143,14.5,13.42857,6.392857,3.857143,20.35714,-17.41995,-9,10,-0.019247999999999998,0.011217,0.048053,-6.87315,-1.4655200000000002,2.77833,0.676109,-0.857143,-1.25369,unc asheville,275,UNC Asheville,BSth,14,17,16.0,0.2181,101.7,153,113.6,319,69.3,128,0.118,5,0.3956,240,98.8,250,102.5,214,0.7262,19
2003,136,1,1112,80,1436,51,N,0,29,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75,4.655172,19,10,0.44444399999999995,0.34075700000000003,0.657848,38.689659999999996,14.2069,14.068970000000002,6.862069,2.9655169999999997,15.89655,10.309118,6,-7,0.016969,0.009777,0.043581,4.1317699999999995,3.4359599999999997,0.7167399999999999,1.602217,1.248769,1.85345,arizona,4,Arizona,P10,28,4,1.0,0.9391,114.8,7,90.5,11,74.1,10,-0.006,180,0.7136,19,106.1,8,98.0,39,0.7035,23
2003,138,1,1112,96,1211,95,N,2,1,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75,8.870968,23,8,0.470041,0.375635,0.721204,37.25806,15.74194,14.54839,6.806452,3.5161290000000003,18.64516,6.093322,2,-5,-0.008628,-0.025101,-0.019775,5.56337,1.9009200000000002,0.23731999999999998,1.657834,0.6981569999999999,-0.8951600000000001,arizona,4,Arizona,P10,28,4,1.0,0.9391,114.8,7,90.5,11,74.1,10,-0.006,180,0.7136,19,106.1,8,98.0,39,0.7035,23
2003,143,1,1112,88,1323,71,N,0,17,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75,8.903226,22,9,0.44869799999999993,0.380741,0.759887,38.25806,16.903229999999997,12.774189999999999,7.451613,5.645161,16.22581,6.061064,3,-6,0.012715,-0.030206999999999998,-0.058458,4.56337,0.73963,2.01152,1.012673,-1.430875,1.52419,arizona,4,Arizona,P10,28,4,1.0,0.9391,114.8,7,90.5,11,74.1,10,-0.006,180,0.7136,19,106.1,8,98.0,39,0.7035,23
2003,145,0,1112,75,1242,78,N,0,-3,14.96429,25,3,0.461413,0.350534,0.701429,42.82143,17.64286,14.78571,8.464286,4.214286,17.75,14.96667,23,7,0.48528599999999994,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7,-0.00238,2,-4,-0.023873,0.010911,0.035683,1.62143,0.90953,-0.11429,-1.669044,-0.685714,1.05,arizona,4,Arizona,P10,28,4,1.0,0.9391,114.8,7,90.5,11,74.1,10,-0.006,180,0.7136,19,106.1,8,98.0,39,0.7035,23
2003,136,1,1113,84,1272,71,N,0,13,6.7931029999999994,18,11,0.478182,0.317808,0.669737,37.0,15.551720000000001,14.0,5.2068970000000006,4.241379,19.41379,8.689655,23,6,0.437931,0.34879699999999997,0.653614,40.03448,16.62069,13.7931,7.37931,5.0689660000000005,18.75862,-1.896552,-5,5,0.040251,-0.030989,0.016123,-3.03448,-1.06897,0.2069,-2.172413,-0.8275870000000001,0.65517,arizona st.,30,Arizona St.,P10,20,12,10.0,0.8323,112.3,17,97.7,84,68.6,156,-0.014,200,0.7041,25,105.1,38,97.4,18,0.6132,59
2003,138,0,1113,76,1242,108,N,0,-32,6.7931029999999994,18,11,0.478182,0.317808,0.669737,37.0,15.551720000000001,14.0,5.2068970000000006,4.241379,19.41379,14.96667,23,7,0.48528599999999994,0.339623,0.665746,41.2,16.73333,14.9,10.13333,4.9,16.7,-8.173567,-5,4,-0.007104000000000001,-0.021815,0.003991,-4.2,-1.18161,-0.9,-4.926433,-0.658621,2.71379,arizona st.,30,Arizona St.,P10,20,12,10.0,0.8323,112.3,17,97.7,84,68.6,156,-0.014,200,0.7041,25,105.1,38,97.4,18,0.6132,59
2003,136,1,1141,79,1166,73,N,0,6,6.103448,23,6,0.505236,0.380769,0.765753,33.86207,15.62069,18.24138,7.103447999999999,4.0,20.96552,14.909089999999999,29,4,0.49947299999999994,0.38905300000000004,0.69289,34.06061,16.818179999999998,13.36364,8.393939,4.4545449999999995,17.27273,-8.805642,-6,2,0.005763,-0.008284,0.072863,-0.19854000000000002,-1.19749,4.87774,-1.290491,-0.454545,3.69279,central michigan,62,Central Michigan,MAC,25,7,11.0,0.7435,108.7,46,99.1,117,72.5,33,0.13699999999999998,3,0.5536,118,103.3,85,101.4,154,0.5761,90
2003,138,0,1141,60,1181,86,N,0,-26,6.103448,23,6,0.505236,0.380769,0.765753,33.86207,15.62069,18.24138,7.103447999999999,4.0,20.96552,11.56667,24,6,0.45359099999999997,0.355987,0.709026,36.86667,13.833329999999998,14.03333,8.5,5.133333,21.26667,-5.463222,-1,0,0.051645,0.024782,0.056727,-3.0046,1.7873599999999998,4.20805,-1.396552,-1.133333,-0.30115,central michigan,62,Central Michigan,MAC,25,7,11.0,0.7435,108.7,46,99.1,117,72.5,33,0.13699999999999998,3,0.5536,118,103.3,85,101.4,154,0.5761,90
