Id,Pred,Wteam,Lteam,Year,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg
2016_1112_1114,0.5,1112,1114,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,2.2766373389999988,-2,4,0.02478155729999998,-0.004534496599999993,-0.01158591830000022,7.339198429999996,1.6119257099999995,2.592375369999999,-1.3812316720000002,1.7233626590000006,-0.04594331000000196
2016_1112_1122,0.5,1112,1122,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,14.575757573999999,9,-9,0.02234505539999998,0.0339228218,0.05270191989999995,4.363636360000001,1.636363639999999,-1.727272730000001,-2.0,2.0303030300000002,0.5757575700000004
2016_1114_1122,0.5,1114,1122,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,12.299120235,11,-13,-0.0024365018999999988,0.038457318399999996,0.06428783820000017,-2.975562069999995,0.024437929999999497,-4.3196481,-0.6187683279999998,0.3069403709999996,0.6217008800000023
2016_1112_1124,0.5,1112,1124,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,5.524621209999999,4,-3,0.018506864899999975,0.008977371899999975,-0.004395368800000132,3.4611742399999983,-2.57859848,0.0056818199999995045,-2.8096590910000003,0.8191287880000004,-1.1941287900000006
2016_1114_1124,0.5,1114,1124,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,3.2479838710000006,6,-7,-0.006274692400000004,0.013511868499999968,0.007190549500000087,-3.878024189999998,-4.19052419,-2.5866935499999997,-1.4284274190000001,-0.9042338710000002,-1.1481854799999986
2016_1122_1124,0.5,1122,1124,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,6.6875,21,11,0.4632829374,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,-9.051136364,-5,6,-0.003838190500000005,-0.024945449900000027,-0.05709728870000008,-0.9024621200000027,-4.214962119999999,1.7329545500000005,-0.8096590910000003,-1.2111742419999998,-1.769886360000001
2016_1112_1138,0.5,1112,1138,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,11.5454545433,6,-6,0.04753903779999985,0.04738986379999999,0.013475649099999876,1.4242424199999988,1.9696969699999993,-1.0,-1.8181818180000011,1.3030303030000003,-3.0606060600000013
2016_1114_1138,0.5,1114,1138,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,9.268817204300001,8,-10,0.02275748049999987,0.05192436039999998,0.025061567400000095,-5.914956009999997,0.3577712599999998,-3.592375369999999,-0.4369501460000009,-0.4203323560000003,-3.0146627499999994
2016_1122_1138,0.5,1122,1138,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,-3.0303030307,-3,3,0.02519398239999987,0.013467041999999985,-0.039226270800000074,-2.939393940000002,0.3333333300000003,0.727272730000001,0.18181818199999888,-0.7272727269999999,-3.6363636300000017
2016_1124_1138,0.5,1124,1138,2016,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,0.6666666667,19,14,0.4342507645000001,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,6.0208333333,2,-3,0.02903217289999993,0.03841249190000001,0.017871017900000008,-2.0369318199999995,4.5482954499999995,-1.0056818199999995,0.9914772729999992,0.4839015149999999,-1.8664772700000007
