,Id,Pred,Wteam,Lteam,Year,WAvgPointSpread,WWins,WLosses,WFieldGoalAvg,WThreePointAvg,WFreeThrowAvg,WReboundAvg,WAssistAvg,WTurnOverAvg,WStealAvg,WBlockAvg,WPersonalFoulAvg,LAvgPointSpread,LWins,LLosses,LFieldGoalAvg,LThreePointAvg,LFreeThrowAvg,LReboundAvg,LAssistAvg,LTurnOverAvg,LStealAvg,LBlockAvg,LPersonalFoulAvg,AvgPointSpread,Wins,Losses,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,WRank,WSchool,WTeam_Name,WConference,WWinsKP,WLossesKP,WSeed,WPyth,WAdjustO,WAdjustO Rank,WAdjustD,WAdjustD Rank,WAdjustT,WAdjustT Rank,WLuck,WLuck Rank,WSOS Pyth,WSOS Pyth Rank,WSOS OppO,WSOS OppO Rank,WSOS OppD,WSOS OppD Rank,WNCSOS Pyth,WNCSOS Pyth Rank,LRank,LSchool,LTeam_Name,LConference,LWinsKP,LLossesKP,LSeed,LPyth,LAdjustO,LAdjustO Rank,LAdjustD,LAdjustD Rank,LAdjustT,LAdjustT Rank,LLuck,LLuck Rank,LSOS Pyth,LSOS Pyth Rank,LSOS OppO,LSOS OppO Rank,LSOS OppD,LSOS OppD Rank,LNCSOS Pyth,LNCSOS Pyth Rank,Rank,WinsKP,LossesKP,Pyth,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS Pyth,SOS Pyth Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS Pyth,NCSOS Pyth Rank
0,2016_1112_1114,0.5,1112,1114,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,2.276637339,-2,4,0.0247815573,-0.0045344966,-0.011585918300000001,7.33919843,1.61192571,2.59237537,-1.381231672,1.723362659,-0.04594331,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,-31,-1,2,0.0776,8.599999999999994,-93,1.9000000000000057,21,5.0,-178,-0.051000000000000004,119,0.11860000000000004,-117,2.200000000000003,-123,-2.1000000000000085,-104,-0.14489999999999997,147
1,2016_1112_1122,0.5,1112,1122,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,14.57575757,9,-9,0.0223450554,0.0339228218,0.052701919900000005,4.36363636,1.63636364,-1.72727273,-2.0,2.03030303,0.57575757,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,-228,9,-11,0.5630999999999999,13.799999999999997,-189,-12.399999999999991,-227,-1.2999999999999972,54,-0.018000000000000002,48,0.1376,-138,0.4000000000000057,-20,-4.6000000000000085,-250,-0.15729999999999994,158
2,2016_1114_1122,0.5,1114,1122,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,12.29912024,11,-13,-0.0024365019,0.038457318399999996,0.0642878382,-2.97556207,0.02443793,-4.3196481,-0.6187683279999999,0.306940371,0.62170088,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,-197,10,-13,0.4855,5.200000000000003,-96,-14.299999999999997,-248,-6.299999999999997,232,0.033,-71,0.01899999999999996,-21,-1.7999999999999972,103,-2.5,-146,-0.012399999999999967,11
3,2016_1112_1124,0.5,1112,1124,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,5.52462121,4,-3,0.0185068649,0.0089773719,-0.0043953688000000005,3.46117424,-2.57859848,0.00568182,-2.8096590910000003,0.819128788,-1.19412879,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,-24,3,-2,0.06689999999999996,-1.8000000000000114,5,-6.5,-113,1.8999999999999915,-99,-0.056999999999999995,127,-0.07719999999999994,52,-0.29999999999999716,12,2.5999999999999943,66,-0.04299999999999998,35
4,2016_1114_1124,0.5,1114,1124,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,3.247983871,6,-7,-0.0062746924,0.013511868500000001,0.0071905495,-3.87802419,-4.19052419,-2.58669355,-1.4284274190000001,-0.904233871,-1.14818548,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,7,4,-4,-0.010700000000000043,-10.400000000000006,98,-8.400000000000006,-134,-3.1000000000000085,79,-0.005999999999999998,8,-0.19579999999999997,169,-2.5,135,4.700000000000003,170,0.10189999999999999,-112
5,2016_1122_1124,0.5,1122,1124,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,-9.051136364,-5,6,-0.0038381904999999997,-0.024945449900000003,-0.0570972887,-0.90246212,-4.21496212,1.73295455,-0.8096590909999999,-1.211174242,-1.76988636,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,204,-6,9,-0.49620000000000003,-15.600000000000009,194,5.8999999999999915,114,3.1999999999999886,-153,-0.039,79,-0.21479999999999994,190,-0.7000000000000028,32,7.200000000000003,316,0.11429999999999996,-123
6,2016_1112_1138,0.5,1112,1138,2016,12.21212121,25,8,0.48178980229999996,0.3825622776,0.7228773584999999,40.24242424,14.51515152,12.81818182,4.909090909,4.787878788,18.21212121,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,11.54545454,6,-6,0.0475390378,0.0473898638,0.013475649099999999,1.42424242,1.96969697,-1.0,-1.8181818180000002,1.303030303,-3.06060606,14,Arizona,arizona,P12,21,5,,0.8973,115.6,16,95.7,38,69.3,163,-0.012,206,0.5915,80,104.9,96,101.6,70,0.3865,301,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,-134,7,-6,0.35509999999999997,13.0,-176,-5.3999999999999915,-81,-3.799999999999997,131,-0.06999999999999999,152,0.03839999999999999,-20,-1.0999999999999943,35,-2.4000000000000057,-124,-0.177,193
7,2016_1114_1138,0.5,1114,1138,2016,9.935483871,27,4,0.457008245,0.3870967742,0.7344632768000001,32.90322581,12.90322581,10.22580645,6.290322581,3.064516129,18.25806452,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,9.268817204,8,-10,0.0227574805,0.0519243604,0.025061567400000002,-5.91495601,0.35777126,-3.59237537,-0.43695014600000004,-0.420332356,-3.01466275,45,Arkansas Little Rock,arkansas little rock,SB,22,3,,0.8197,107.0,109,93.8,17,64.3,341,0.039,87,0.4729,197,102.7,219,103.7,174,0.5314,154,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,-103,8,-8,0.27749999999999997,4.400000000000006,-83,-7.299999999999997,-102,-8.799999999999997,309,-0.018999999999999996,33,-0.08020000000000005,97,-3.299999999999997,158,-0.29999999999999716,-20,-0.03210000000000002,46
8,2016_1122_1138,0.5,1122,1138,2016,-2.363636364,16,17,0.4594447469,0.3486394558,0.6701754386,35.87878788,12.87878788,14.54545455,6.909090909,2.757575758,17.63636364,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,-3.0303030310000003,-3,3,0.025193982400000002,0.013467042,-0.0392262708,-2.93939394,0.33333333,0.72727273,0.181818182,-0.727272727,-3.63636363,242,Austin Peay,austin peay,OVC,12,16,,0.3342,101.8,205,108.1,265,70.6,109,0.006,158,0.4539,218,104.5,116,106.2,320,0.5438,143,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,94,-2,5,-0.20800000000000002,-0.7999999999999972,13,7.0,146,-2.5,77,-0.052,104,-0.09920000000000001,118,-1.5,55,2.200000000000003,126,-0.01970000000000005,35
9,2016_1124_1138,0.5,1124,1138,2016,6.6875,21,11,0.46328293740000004,0.3735849057,0.7272727273,36.78125,17.09375,12.8125,7.71875,3.96875,19.40625,0.6666666667,19,14,0.43425076450000005,0.3351724138,0.7094017094,38.81818182,12.54545455,13.81818182,6.727272727000001,3.484848485,21.27272727,6.020833333,2,-3,0.0290321729,0.0384124919,0.0178710179,-2.03693182,4.54829545,-1.00568182,0.991477273,0.483901515,-1.86647727,38,Baylor,baylor,B12,18,7,,0.8304,117.4,11,102.2,151,67.4,262,0.045,79,0.6687,28,105.2,84,99.0,4,0.4295,266,148,Buffalo,buffalo,MAC,14,11,,0.5422,102.6,192,101.1,119,73.1,32,0.057999999999999996,54,0.5531,100,106.0,61,104.0,194,0.5635,108,-110,4,-4,0.2882,14.800000000000011,-181,1.1000000000000085,32,-5.699999999999989,230,-0.012999999999999998,25,0.11559999999999993,-72,-0.7999999999999972,23,-5.0,-190,-0.134,158
