Id,Pred
2016_1112_1114,0.59
2016_1112_1122,0.994
2016_1112_1124,0.812
2016_1112_1138,0.994
2016_1112_1139,0.908
2016_1112_1143,0.73
2016_1112_1151,0.888
2016_1112_1153,0.826
2016_1112_1160,0.832
2016_1112_1163,0.756
2016_1112_1167,0.886
2016_1112_1173,0.59
2016_1112_1181,0.74
2016_1112_1192,0.996
2016_1112_1195,0.998
2016_1112_1201,0.982
2016_1112_1211,0.816
2016_1112_1214,0.956
2016_1112_1218,0.94
2016_1112_1221,1.0
2016_1112_1231,0.78
2016_1112_1233,0.94
2016_1112_1234,0.418
2016_1112_1235,0.738
2016_1112_1242,0.192
2016_1112_1246,0.644
2016_1112_1268,0.518
2016_1112_1274,0.404
2016_1112_1276,0.854
2016_1112_1277,0.322
2016_1112_1292,0.87
2016_1112_1314,0.396
2016_1112_1320,0.932
2016_1112_1323,0.782
2016_1112_1328,0.298
2016_1112_1332,0.698
2016_1112_1333,0.816
2016_1112_1338,0.842
2016_1112_1344,0.804
2016_1112_1345,0.722
2016_1112_1355,0.788
2016_1112_1371,0.766
2016_1112_1372,0.878
2016_1112_1380,0.998
2016_1112_1386,0.592
2016_1112_1392,0.768
2016_1112_1393,0.726
2016_1112_1396,0.82
2016_1112_1400,0.806
2016_1112_1401,0.902
2016_1112_1403,0.898
2016_1112_1409,0.89
2016_1112_1421,0.956
2016_1112_1423,0.732
2016_1112_1425,0.522
2016_1112_1428,0.738
2016_1112_1433,0.758
2016_1112_1435,0.784
2016_1112_1437,0.156
2016_1112_1438,0.454
2016_1112_1451,0.926
2016_1112_1452,0.354
2016_1112_1453,0.998
2016_1112_1455,0.756
2016_1112_1458,0.886
2016_1112_1462,0.296
2016_1112_1463,0.786
2016_1114_1122,0.984
2016_1114_1124,0.458
2016_1114_1138,0.852
2016_1114_1139,0.724
2016_1114_1143,0.342
2016_1114_1151,0.74
2016_1114_1153,0.452
2016_1114_1160,0.502
2016_1114_1163,0.452
2016_1114_1167,0.642
2016_1114_1173,0.406
2016_1114_1181,0.094
2016_1114_1192,0.988
2016_1114_1195,0.992
2016_1114_1201,0.846
2016_1114_1211,0.262
2016_1114_1214,0.978
2016_1114_1218,0.47
2016_1114_1221,1.0
2016_1114_1231,0.46
2016_1114_1233,0.71
2016_1114_1234,0.21
2016_1114_1235,0.246
2016_1114_1242,0.252
2016_1114_1246,0.208
2016_1114_1268,0.27
2016_1114_1274,0.308
2016_1114_1276,0.57
2016_1114_1277,0.194
2016_1114_1292,0.902
2016_1114_1314,0.172
2016_1114_1320,0.878
2016_1114_1323,0.4
2016_1114_1328,0.224
2016_1114_1332,0.296
2016_1114_1333,0.758
2016_1114_1338,0.758
2016_1114_1344,0.478
2016_1114_1345,0.406
2016_1114_1355,0.678
2016_1114_1371,0.522
2016_1114_1372,0.738
2016_1114_1380,0.996
2016_1114_1386,0.496
2016_1114_1392,0.688
2016_1114_1393,0.192
2016_1114_1396,0.904
2016_1114_1400,0.206
2016_1114_1401,0.422
2016_1114_1403,0.638
2016_1114_1409,0.758
2016_1114_1421,0.868
2016_1114_1423,0.512
2016_1114_1425,0.466
2016_1114_1428,0.456
2016_1114_1433,0.714
2016_1114_1435,0.61
2016_1114_1437,0.062
2016_1114_1438,0.066
2016_1114_1451,0.794
2016_1114_1452,0.132
2016_1114_1453,0.822
2016_1114_1455,0.59
2016_1114_1458,0.296
2016_1114_1462,0.462
2016_1114_1463,0.58
2016_1122_1124,0.012
2016_1122_1138,0.042
2016_1122_1139,0.026
