Year,team_id,AvgPointSpread,Wins_x,Losses_x,FieldGoalAvg,ThreePointAvg,FreeThrowAvg,ReboundAvg,AssistAvg,TurnOverAvg,StealAvg,BlockAvg,PersonalFoulAvg,Team_Name,Rank,Team,Conference,Wins_y,Losses_y,Seed,Pyth,AdjustO,AdjustO Rank,AdjustD,AdjustD Rank,AdjustT,AdjustT Rank,Luck,Luck Rank,SOS Pyth,SOS Pyth Rank,SOS OppO,SOS OppO Rank,SOS OppD,SOS OppD Rank,NCSOS Pyth,NCSOS Pyth Rank
2003,1328,11.0,24,6,0.446934,0.393673,0.707885,37.1,14.166670000000002,11.8,6.933333,3.766667,18.6,oklahoma,9,Oklahoma,B12,27,7,1.0,0.9106,109.3,33,89.4,7,64.1,300,0.034,82,0.698,29,105.2,28,97.8,31,0.4446,208
2003,1448,10.7931,24,5,0.45662700000000006,0.344358,0.752591,41.689659999999996,14.586210000000001,15.10345,6.413793,4.37931,18.48276,wake forest,21,Wake Forest,ACC,25,6,2.0,0.8742,112.8,16,95.3,47,69.0,135,0.073,25,0.6572,56,104.1,64,98.4,53,0.4014,246
2003,1393,10.2069,24,5,0.470067,0.330435,0.693431,41.2069,14.965520000000001,13.62069,8.310345,7.275861999999999,16.58621,syracuse,5,Syracuse,BE,30,5,3.0,0.9232,113.4,14,91.4,14,72.1,41,0.083,15,0.7281,9,105.1,34,96.5,5,0.4098,241
2003,1257,13.366670000000001,24,6,0.459726,0.36039899999999997,0.695883,38.3,16.6,13.366670000000001,7.2,4.733333,22.66667,louisville,16,Louisville,CUSA,25,7,4.0,0.8897,113.8,13,94.9,39,74.0,13,-0.028,236,0.6545,60,103.7,79,98.1,43,0.6194,55
2003,1280,10.0,21,9,0.47192399999999995,0.343621,0.6767489999999999,37.26667,14.5,15.633329999999999,8.733333,3.733333,15.9,mississippi st.,11,Mississippi St.,SEC,21,10,5.0,0.8947,105.1,92,87.2,1,65.7,275,-0.06,290,0.6907,33,105.1,36,98.0,38,0.4419,211
2003,1329,6.517241,20,9,0.444928,0.375,0.651235,36.44828,12.24138,14.655170000000002,8.793103,5.586207,20.137929999999997,oklahoma st.,23,Oklahoma St.,B12,22,10,6.0,0.8519,103.2,121,88.7,5,68.4,174,0.003,159,0.7082,22,104.9,44,97.1,14,0.4672,179
2003,1386,11.34483,23,6,0.44550100000000004,0.367508,0.682805,35.310340000000004,14.0,12.93103,7.2068970000000006,5.551724,18.75862,saint joseph's,17,Saint Joseph's,A10,23,7,7.0,0.8886,107.0,62,89.3,6,65.6,278,-0.05,279,0.6208,77,103.9,74,99.6,89,0.6561,33
2003,1143,4.724138,21,8,0.465649,0.37651799999999996,0.685512,35.62069,16.0,14.172410000000001,6.551724,2.793103,17.10345,california,42,California,P10,22,9,8.0,0.8022,109.1,37,96.6,65,67.2,225,0.062,42,0.6686,49,105.4,22,99.2,78,0.4992,155
2003,1301,4.4,18,12,0.45625,0.354074,0.770358,31.76667,14.666670000000002,14.2,7.766667,3.066667,18.66667,north carolina st.,50,North Carolina St.,ACC,18,13,9.0,0.7865,110.4,25,98.6,107,66.1,266,-0.023,225,0.6663,51,104.9,42,98.8,66,0.326,299
2003,1120,4.533333,19,11,0.46983500000000006,0.344898,0.662162,34.5,13.4,15.9,8.033333,4.966667,16.366670000000003,auburn,53,Auburn,SEC,22,12,10.0,0.7815,105.3,89,94.3,31,67.7,195,0.051,52,0.6877,34,104.6,55,97.7,20,0.3726,274
2003,1335,10.77778,22,5,0.46585200000000004,0.411864,0.70217,33.51852,14.85185,13.0,7.185185000000001,2.148148,17.77778,penn,47,Penn,Ivy,22,6,11.0,0.7928,110.0,27,97.9,90,64.7,289,0.035,80,0.4517,187,99.1,234,100.8,123,0.5973,68
